x,y,goal
10.613733,34.06585,Become more fit and healthy
-3.2230935,-13.096998,Find purpose in life
12.38111,-5.38019,Acquire more skills for success
14.25164,-25.738792,Improve personal relationships
9.685861,-8.430973,Be more committed
-3.9089546,0.030496148,Do more challenging things
21.571943,-7.5022006,Develop a higher level of self-esteem and positivity
22.338066,-4.9692373,Be more confident
18.644976,30.64506,Stop eating unhealthy
5.147946,6.5510793,Ask more questions
17.088326,-14.283351,Be a good listener
-31.665215,-1.1741573,Get into a club
0.6385385,3.0368214,Learn more
6.5007715,-14.502103,Keep a Daily Journal or Gratitude Log 
25.69608,23.997515,Quit drinking
-0.555327,12.453304,Code a video game
19.637695,-16.876001,Be a better person
18.239838,-21.196873,Have a trusted circle of friends
10.820904,-24.772617,Keep good ties with relatives
7.5665364,-11.548129,Network
21.712475,-17.78084,Be more social
8.162489,20.522038,Learn how to cook
27.518587,18.40266,stop playing video games
3.3091776,-20.626577,Do community service
2.914667,39.70348,Do 30 push-ups every day
4.3443036,39.597942,Do 20 sit-ups every day
1.3062546,34.063377,Go to the gym 3 times a week
-18.10106,-8.458467,Find a career that you love
15.056057,-31.18012,Find a life partner
-7.3737884,-5.983115,Become an expert or leader in my field
-8.061263,32.010136,Go for a walk every day
17.871141,-14.077734,Become a better listener
-8.6038885,-31.668835,Buy my first home
-17.344793,-33.803215,save money for retirement
4.2324934,-20.080496,Give back to my community in ways that matter to you
-12.49725,-33.770958,Save enough money to buy something you've always wanted like a boat cabin or another item
-1.3629179,17.579096,Learn how to dance
-25.036427,-37.37554,Pay off my student loans
-20.624063,20.366503,Go on a trip with my best friends
17.30498,35.55128,Lose 10 pounds
19.768837,28.423153,Eat less sugar and junk food
-20.272854,-0.13501908,Get a degree in a subject that matters to me
2.424177,6.532936,Read 1 new book per week
5.855475,21.227755,Learn how to bake
-22.75845,2.8797572,Get into graduate school
9.128831,-34.922993,Help someone else reach one of their dreams
0.5071635,-3.0318093,Write a book
-23.002012,13.684707,Go to Switzerland
-29.547007,21.335146,Visit all of the American national parks
24.00007,27.533619,Cut my consumption of plastic in half
8.156056,-15.596967,Practice gratitude daily
20.257135,-10.205283,Improve my public speaking skills
-10.412474,13.088362,Learn a foreign language
16.99155,-23.501596,Forgive someone who has hurt you
12.782172,-8.0272875,Improve my growth mindset
14.143549,0.98808765,Be more proactive
16.338324,-7.8772125,Learn to understand myself
8.3552685,-6.1746306,Be persistent despite obstacles
21.809408,2.4288023,Learn to accept my limits
11.455147,-3.7563162,Learn how to make effective decisions
8.819304,-15.872652,Practice gratitude
-14.01909,-3.1601374,Stay open-minded to new opportunities
-2.1402154,5.033218,Learn something new
2.2732947,-16.208092,Live according to my values
25.666203,-0.9844268,Learn healthy ways to cope with stress
-0.6629379,-16.294662,Recreate my work-life balance
19.988647,6.51603,Start good habits
16.387432,-0.19696605,Consider leaving behind expectations
14.446623,-4.362747,Learn from failure
20.072104,6.5426116,Eliminate bad habits
20.66864,-11.237255,Improve my communication skills
11.769915,-11.845385,Avoid negativity in the workplace
-21.326021,-31.500341,Improve my financial management skills
13.232059,5.2350073,Develop time management skills
2.4850318,-23.268002,volunteer at a soup kitchen
-8.995114,12.946286,get fluent in chinese
-8.260687,33.45892,go on hikes regularly
15.894171,2.5876942,stop procrastinating
3.2867541,1.6159186,read more
10.282707,1.4007831,Improve Job Performance
-16.648615,-32.09508,Increase Savings
-16.824299,-27.909369,Live Within A Budget
17.661001,28.024467,Eat More Fruits and Vegetables
4.981763,34.927185,Get Regular Exercise
15.428659,-35.614983,Express Love to your Spouse
9.032704,-24.6579,Strengthen Family Bonds
-12.793956,30.093473,Increase Outdoor Activity
-1.4229198,3.1654673,Increase Knowledge
16.148666,15.474761,Build a Robust Morning Routine
28.191786,6.3031216,Tap into the Power of Meditation
-4.150169,-12.146664,Develop a vision for your life
12.677451,-11.191383,Establish a positive mindset
20.608482,0.12579434,Accept what you can’t change
21.944954,2.6231623,Never set limits on yourself
-9.295363,31.124489,Cut your path
20.39217,-0.25456172,Embrace change
25.556988,-0.66527224,Manage stress
4.0362434,-15.69213,Live in the moment
21.785374,-6.198372,Improve your self-confidence
15.31473,13.011889,Get up early
-4.379469,35.79691,Hustle every day
16.435627,2.3815894,Stop procrastinating
-22.874266,-9.499119,Ask for what you want
20.184982,11.930139,Get enough sleep
5.0440474,33.81837,Exercise regularly
-3.4140604,4.282619,Become a lifelong learner
2.2672138,-10.846404,Keep a journal
-17.95125,-26.905828,create a budget
18.552988,-5.4979234,Practice self-care
19.590403,-11.810142,Improve your interpersonal skills
16.723827,-4.378043,Learn to be patient
-11.69503,-7.8778486,Work smart
-14.190324,-41.58898,Capitalize on change
-14.2132435,-41.60403,Capitalize on failure
17.718163,-13.786678,Become a better listener
12.415018,25.172693,Plan and prepare your meals
13.908239,25.953016,Have family meals 3 times a week
12.865064,5.0877194,Improve your time management skills
-0.20004764,-16.104237,Find work-life balance
16.927395,-8.534955,Learn how to express yourself
-5.63545,3.6287012,Master a new skill
25.30221,0.5853622,Control your temper
15.093197,-11.083959,Learn to say no
10.666621,-4.5901933,Become more decisive
21.987066,-10.340074,Improve your body language
14.5725355,-3.3975778,Improve one of your weaknesses
-6.4177074,-7.1858077,Become a better leader
-0.2668874,-23.151836,Volunteer for a cause you believe in
-25.575117,16.243992,Discover your best place to live
7.530847,-2.3781552,Make a “bucket list”
-22.011742,21.896894,Plan and take a special trip
1.4986262,4.762936,Read a new book
-4.9567685,-0.3160502,Take on a new challenge
17.442461,-18.7343,Expand your network of friends
14.115287,-30.676401,Find your perfect life partner
15.005362,-28.027328,Become a better spouse
7.885502,-27.763094,Grow into a better parent
26.069103,-7.446105,Remove toxic people from your life
-32.169308,-5.9865403,Find a mentor
